lux_referencia,adc_raw,percentual_adc,lux_estimado,ratio_feature,log_inverse_ratio_feature,log_lux_referencia
0.1,4063.0,99.2,4447.99,126.96875,-4.843940993188,0.09531017980432487
0.2,4052.0,98.9,3301.06,94.23255813953489,-4.545765749675011,0.18232155679395465
0.5,3994.0,97.5,1385.06,39.54455445544554,-3.677427997134501,0.4054651081081644
1.0,3943.0,96.3,908.45,25.94078947368421,-3.255816613031351,0.6931471805599453
2.0,3875.0,94.6,616.7,17.613636363636363,-2.868673395435086,1.0986122886681098
5.0,3658.0,89.3,292.87,8.37070938215103,-2.124738633855221,1.791759469228055
10.0,3431.0,83.8,180.64,5.167168674698795,-1.6423248933820158,2.3978952727983707
20.0,3092.0,75.5,107.61,3.082751744765703,-1.125822621745377,3.044522437723423
50.0,2531.0,61.8,56.3,1.6182864450127876,-0.4813678394398677,3.9318256327243257
100.0,2045.0,49.9,34.55,0.9975609756097561,0.002442003655551809,4.61512051684126
200.0,1560.0,38.1,21.16,0.6153846153846154,0.4855078157817008,5.303304908059076
501.0,999.0,24.4,10.91,0.3226744186046512,1.1311114560610642,6.218600119691729
1000.0,680.0,16.6,6.58,0.19912152269399708,1.6138399738347382,6.90875477931522
1995.0,448.0,10.9,3.91,0.12284069097888675,2.096866958393695,7.59890045687141
5012.0,248.0,6.1,1.86,0.06446581752014557,2.741620156587313,8.519789817263504
10000.0,156.0,3.8,0.99,0.039603960396039604,3.228826155721369,9.210440366976517
19953.0,98.0,2.4,0.46,0.024518388791593695,3.7083318800407516,9.901184903473453
50119.0,52.0,1.3,0.05,0.012861736334405145,4.353498551059343,10.822175409010004
100000.0,32.0,0.8,0.0,0.007875953728771843,4.843940993188,11.51293546492023
